variant,nist_level,blowup,r,ldt,prove_ms,verify_ms,proof_kib,n_trace,n_constraints,n_ood,n_perm
sha3-512,L1,16,68,stir,1.2,0.64,177.0,8,6,7,5
sha3-512,L3,16,99,stir,1.3,0.92,257.0,8,6,7,5
