variant,nist_level,blowup,r,ldt,prove_ms,verify_ms,proof_kib,n_trace,n_constraints,n_ood,n_perm
sha3-256,L1,4,54,fri,1.7,1.00,200.5,8,6,7,5
sha3-256,L1,4,54,stir,0.5,0.20,46.3,8,6,7,5
sha3-384,L3,4,79,fri,1.5,1.66,394.4,8,6,7,5
sha3-384,L3,4,79,stir,0.6,0.36,93.2,8,6,7,5
sha3-512,L5,4,105,fri,1.6,2.90,658.7,8,6,7,5
sha3-512,L5,4,105,stir,0.7,0.69,158.0,8,6,7,5
