name,qtype,status,answer_count,class
ictservices.se,AAAA,NOERROR,0,NODATA
ictservices.se,MX,NOERROR,2,POSITIVE
ictservices.se,TXT,NOERROR,1,POSITIVE
ictservices.se,NS,NOERROR,2,POSITIVE
ictservices.se,SOA,NOERROR,1,POSITIVE
ictservices.se,CAA,NOERROR,0,NODATA
ictservices.se,HTTPS,NXDOMAIN,0,NXDOMAIN
ixanon.se,A,NOERROR,1,POSITIVE
ixanon.se,AAAA,NOERROR,0,NODATA
ixanon.se,MX,NOERROR,2,POSITIVE
ixanon.se,TXT,NOERROR,1,POSITIVE
ixanon.se,NS,NOERROR,2,POSITIVE
ixanon.se,SOA,NOERROR,1,POSITIVE
ixanon.se,CAA,NOERROR,0,NODATA
ixanon.se,HTTPS,NXDOMAIN,0,NXDOMAIN
newgengrowth.se,A,NOERROR,2,POSITIVE
newgengrowth.se,AAAA,NOERROR,2,POSITIVE
newgengrowth.se,MX,NOERROR,0,NODATA
newgengrowth.se,TXT,NOERROR,0,NODATA
newgengrowth.se,NS,NOERROR,2,POSITIVE
newgengrowth.se,SOA,NOERROR,1,POSITIVE
newgengrowth.se,CAA,NOERROR,0,NODATA
newgengrowth.se,HTTPS,NXDOMAIN,0,NXDOMAIN
borjes.se,A,NOERROR,1,POSITIVE
borjes.se,AAAA,NOERROR,0,NODATA
borjes.se,MX,NOERROR,1,POSITIVE
borjes.se,TXT,NOERROR,3,POSITIVE
borjes.se,NS,NOERROR,2,POSITIVE
borjes.se,SOA,NOERROR,1,POSITIVE
borjes.se,CAA,NOERROR,0,NODATA
borjes.se,HTTPS,NXDOMAIN,0,NXDOMAIN
sj.se,A,NOERROR,4,POSITIVE
sj.se,AAAA,NOERROR,0,NODATA
sj.se,MX,NOERROR,1,POSITIVE
sj.se,TXT,ERROR,0,OTHER
sj.se,NS,NOERROR,3,POSITIVE
sj.se,SOA,NOERROR,1,POSITIVE
sj.se,CAA,NOERROR,0,NODATA
sj.se,HTTPS,NXDOMAIN,0,NXDOMAIN
researchdata.se,A,NOERROR,1,POSITIVE
researchdata.se,AAAA,NOERROR,0,NODATA
researchdata.se,MX,NOERROR,0,NODATA
researchdata.se,TXT,NOERROR,0,NODATA
researchdata.se,NS,NOERROR,2,POSITIVE
researchdata.se,SOA,NOERROR,1,POSITIVE
researchdata.se,CAA,NOERROR,0,NODATA
researchdata.se,HTTPS,NXDOMAIN,0,NXDOMAIN
danceplanet.se,A,NOERROR,1,POSITIVE
danceplanet.se,AAAA,NOERROR,1,POSITIVE
danceplanet.se,MX,NOERROR,4,POSITIVE
danceplanet.se,TXT,NOERROR,0,NODATA
danceplanet.se,NS,NOERROR,2,POSITIVE
danceplanet.se,SOA,NOERROR,1,POSITIVE
danceplanet.se,CAA,NOERROR,0,NODATA
danceplanet.se,HTTPS,NXDOMAIN,0,NXDOMAIN
innovationedge.se,A,NOERROR,2,POSITIVE
innovationedge.se,AAAA,NOERROR,2,POSITIVE
innovationedge.se,MX,NOERROR,0,NODATA
innovationedge.se,TXT,NOERROR,0,NODATA
innovationedge.se,NS,NOERROR,2,POSITIVE
innovationedge.se,SOA,NOERROR,1,POSITIVE
innovationedge.se,CAA,NOERROR,0,NODATA
innovationedge.se,HTTPS,NXDOMAIN,0,NXDOMAIN
lannasport.se,A,NOERROR,1,POSITIVE
lannasport.se,AAAA,NOERROR,0,NODATA
lannasport.se,MX,NOERROR,1,POSITIVE
lannasport.se,TXT,NOERROR,5,POSITIVE
lannasport.se,NS,NOERROR,4,POSITIVE
lannasport.se,SOA,NOERROR,1,POSITIVE
lannasport.se,CAA,NOERROR,0,NODATA
lannasport.se,HTTPS,NXDOMAIN,0,NXDOMAIN
saab.se,A,NOERROR,1,POSITIVE
saab.se,AAAA,NOERROR,0,NODATA
saab.se,MX,NOERROR,0,NODATA
saab.se,TXT,NOERROR,4,POSITIVE
saab.se,NS,NOERROR,4,POSITIVE
saab.se,SOA,NOERROR,1,POSITIVE
saab.se,CAA,NOERROR,0,NODATA
saab.se,HTTPS,NXDOMAIN,0,NXDOMAIN
efn.se,A,NOERROR,4,POSITIVE
efn.se,AAAA,NOERROR,0,NODATA
efn.se,MX,NOERROR,5,POSITIVE
efn.se,TXT,ERROR,0,OTHER
efn.se,NS,NOERROR,6,POSITIVE
efn.se,SOA,NOERROR,1,POSITIVE
efn.se,CAA,NOERROR,3,POSITIVE
efn.se,HTTPS,NXDOMAIN,0,NXDOMAIN
youtube.se,A,NOERROR,4,POSITIVE
youtube.se,AAAA,NOERROR,4,POSITIVE
youtube.se,MX,NOERROR,1,POSITIVE
youtube.se,TXT,NOERROR,1,POSITIVE
youtube.se,NS,NOERROR,4,POSITIVE
youtube.se,SOA,NOERROR,1,POSITIVE
youtube.se,CAA,NOERROR,1,POSITIVE
youtube.se,HTTPS,NXDOMAIN,0,NXDOMAIN
modellhobby.se,A,NOERROR,2,POSITIVE
modellhobby.se,AAAA,NOERROR,2,POSITIVE
modellhobby.se,MX,NOERROR,2,POSITIVE
modellhobby.se,TXT,NOERROR,3,POSITIVE
modellhobby.se,NS,NOERROR,2,POSITIVE
modellhobby.se,SOA,NOERROR,1,POSITIVE
modellhobby.se,CAA,NOERROR,0,NODATA
modellhobby.se,HTTPS,NXDOMAIN,0,NXDOMAIN
boldsolutions.se,A,NOERROR,2,POSITIVE
boldsolutions.se,AAAA,NOERROR,2,POSITIVE
