variant,nist_level,blowup,r,ldt,prove_ms,verify_ms,proof_kib,n_trace,n_constraints,n_ood,n_perm
sha3-512,L1,4,135,stir,3.4,0.82,202.8,8,6,7,5
sha3-512,L3,4,198,stir,3.4,1.21,296.9,8,6,7,5
