variant,nist_level,blowup,r,ldt,prove_ms,verify_ms,proof_kib,n_trace,n_constraints,n_ood,n_perm
sha3-512,L1,32,54,stir,2.5,0.67,144.9,8,6,7,5
sha3-512,L3,32,79,stir,2.1,0.84,211.2,8,6,7,5
