air,level,ext_field,hash,r,n_trace,blowup,prove_ms,verify_ms,proof_kib,peak_rss_mib,run_idx,ldt
PoseidonChain-2^14,L1,Fp8,SHA3-512,54,16384,32,5203,2.62,327.2,,1,stir
PoseidonChain-2^15,L1,Fp8,SHA3-512,54,32768,32,10572,2.70,330.8,,1,stir
PoseidonChain-2^16,L1,Fp8,SHA3-512,54,65536,32,21440,2.76,334.3,,1,stir
PoseidonChain-2^17,L1,Fp8,SHA3-512,54,131072,32,43578,3.06,388.5,,1,stir
PoseidonChain-2^18,L1,Fp8,SHA3-512,54,262144,32,88223,3.11,392.0,,1,stir
PoseidonChain-2^19,L1,Fp8,SHA3-512,54,524288,32,178973,3.18,395.5,,1,stir
PoseidonChain-2^20,L1,Fp8,SHA3-512,54,1048576,32,362494,3.24,399.0,,1,stir
PoseidonChain-2^21,L1,Fp8,SHA3-512,54,2097152,32,733772,3.54,453.2,,1,stir
PoseidonChain-2^22,L1,Fp8,SHA3-512,54,4194304,32,1490316,3.62,456.7,,1,stir
RegisterMachine-2^11,L1,Fp8,SHA3-512,54,2048,32,339,2.19,266.0,,1,stir
RegisterMachine-2^12,L1,Fp8,SHA3-512,54,4096,32,657,2.26,269.5,,1,stir
RegisterMachine-2^13,L1,Fp8,SHA3-512,54,8192,32,1312,2.57,323.7,,1,stir
RegisterMachine-2^14,L1,Fp8,SHA3-512,54,16384,32,2646,2.61,327.2,,1,stir
RegisterMachine-2^15,L1,Fp8,SHA3-512,54,32768,32,5372,2.67,330.8,,1,stir
RegisterMachine-2^16,L1,Fp8,SHA3-512,54,65536,32,11021,2.76,334.3,,1,stir
RegisterMachine-2^17,L1,Fp8,SHA3-512,54,131072,32,22401,3.04,388.5,,1,stir
RegisterMachine-2^18,L1,Fp8,SHA3-512,54,262144,32,45378,3.10,392.0,,1,stir
RegisterMachine-2^19,L1,Fp8,SHA3-512,54,524288,32,92087,3.17,395.5,,1,stir
RegisterMachine-2^20,L1,Fp8,SHA3-512,54,1048576,32,186943,3.22,399.0,,1,stir
RegisterMachine-2^21,L1,Fp8,SHA3-512,54,2097152,32,380874,3.53,453.2,,1,stir
RegisterMachine-2^22,L1,Fp8,SHA3-512,54,4194304,32,771136,3.62,456.7,,1,stir
Fibonacci-2^11,L1,Fp8,SHA3-512,54,2048,32,287,2.19,266.0,,2,stir
Fibonacci-2^12,L1,Fp8,SHA3-512,54,4096,32,549,2.25,269.5,,2,stir
Fibonacci-2^13,L1,Fp8,SHA3-512,54,8192,32,1081,2.56,323.7,,2,stir
Fibonacci-2^14,L1,Fp8,SHA3-512,54,16384,32,2150,2.61,327.2,,2,stir
Fibonacci-2^15,L1,Fp8,SHA3-512,54,32768,32,4347,2.70,330.8,,2,stir
Fibonacci-2^16,L1,Fp8,SHA3-512,54,65536,32,8732,2.74,334.3,,2,stir
Fibonacci-2^17,L1,Fp8,SHA3-512,54,131072,32,17741,3.04,388.5,,2,stir
Fibonacci-2^18,L1,Fp8,SHA3-512,54,262144,32,35888,3.11,392.0,,2,stir
Fibonacci-2^19,L1,Fp8,SHA3-512,54,524288,32,72433,3.17,395.5,,2,stir
Fibonacci-2^20,L1,Fp8,SHA3-512,54,1048576,32,144209,3.23,399.0,,2,stir
Fibonacci-2^21,L1,Fp8,SHA3-512,54,2097152,32,290618,3.53,453.2,,2,stir
Fibonacci-2^22,L1,Fp8,SHA3-512,54,4194304,32,590735,3.61,456.7,,2,stir
PoseidonChain-2^11,L1,Fp8,SHA3-512,54,2048,32,651,2.19,266.0,,2,stir
PoseidonChain-2^12,L1,Fp8,SHA3-512,54,4096,32,1283,2.25,269.5,,2,stir
PoseidonChain-2^13,L1,Fp8,SHA3-512,54,8192,32,2576,2.56,323.7,,2,stir
PoseidonChain-2^14,L1,Fp8,SHA3-512,54,16384,32,5186,2.64,327.2,,2,stir
PoseidonChain-2^15,L1,Fp8,SHA3-512,54,32768,32,10546,2.70,330.8,,2,stir
PoseidonChain-2^16,L1,Fp8,SHA3-512,54,65536,32,21455,2.75,334.3,,2,stir
PoseidonChain-2^17,L1,Fp8,SHA3-512,54,131072,32,43628,3.05,388.5,,2,stir
PoseidonChain-2^18,L1,Fp8,SHA3-512,54,262144,32,88124,3.12,392.0,,2,stir
PoseidonChain-2^19,L1,Fp8,SHA3-512,54,524288,32,178824,3.19,395.5,,2,stir
PoseidonChain-2^20,L1,Fp8,SHA3-512,54,1048576,32,364355,3.24,399.0,,2,stir
PoseidonChain-2^21,L1,Fp8,SHA3-512,54,2097152,32,735367,3.55,453.2,,2,stir
PoseidonChain-2^22,L1,Fp8,SHA3-512,54,4194304,32,1484779,3.62,456.7,,2,stir
RegisterMachine-2^11,L1,Fp8,SHA3-512,54,2048,32,341,2.19,266.0,,2,stir
RegisterMachine-2^12,L1,Fp8,SHA3-512,54,4096,32,661,2.24,269.5,,2,stir
RegisterMachine-2^13,L1,Fp8,SHA3-512,54,8192,32,1321,2.57,323.7,,2,stir
RegisterMachine-2^14,L1,Fp8,SHA3-512,54,16384,32,2642,2.63,327.2,,2,stir
RegisterMachine-2^15,L1,Fp8,SHA3-512,54,32768,32,5379,2.68,330.8,,2,stir
RegisterMachine-2^16,L1,Fp8,SHA3-512,54,65536,32,11061,2.74,334.3,,2,stir
RegisterMachine-2^17,L1,Fp8,SHA3-512,54,131072,32,22466,3.05,388.5,,2,stir
RegisterMachine-2^18,L1,Fp8,SHA3-512,54,262144,32,45686,3.10,392.0,,2,stir
RegisterMachine-2^19,L1,Fp8,SHA3-512,54,524288,32,92380,3.18,395.5,,2,stir
RegisterMachine-2^20,L1,Fp8,SHA3-512,54,1048576,32,187102,3.23,399.0,,2,stir
RegisterMachine-2^21,L1,Fp8,SHA3-512,54,2097152,32,381246,3.53,453.2,,2,stir
RegisterMachine-2^22,L1,Fp8,SHA3-512,54,4194304,32,775824,3.60,456.7,,2,stir
Fibonacci-2^11,L1,Fp8,SHA3-512,54,2048,32,289,2.19,266.0,,3,stir
Fibonacci-2^12,L1,Fp8,SHA3-512,54,4096,32,550,2.25,269.5,,3,stir
Fibonacci-2^13,L1,Fp8,SHA3-512,54,8192,32,1084,2.56,323.7,,3,stir
Fibonacci-2^14,L1,Fp8,SHA3-512,54,16384,32,2152,2.61,327.2,,3,stir
Fibonacci-2^15,L1,Fp8,SHA3-512,54,32768,32,4345,2.68,330.8,,3,stir
Fibonacci-2^16,L1,Fp8,SHA3-512,54,65536,32,8819,2.75,334.3,,3,stir
Fibonacci-2^17,L1,Fp8,SHA3-512,54,131072,32,17790,3.05,388.5,,3,stir
Fibonacci-2^18,L1,Fp8,SHA3-512,54,262144,32,35866,3.10,392.0,,3,stir
Fibonacci-2^19,L1,Fp8,SHA3-512,54,524288,32,71378,3.17,395.5,,3,stir
Fibonacci-2^20,L1,Fp8,SHA3-512,54,1048576,32,143806,3.23,399.0,,3,stir
Fibonacci-2^21,L1,Fp8,SHA3-512,54,2097152,32,290181,3.57,453.2,,3,stir
Fibonacci-2^22,L1,Fp8,SHA3-512,54,4194304,32,586281,3.61,456.7,,3,stir
PoseidonChain-2^11,L1,Fp8,SHA3-512,54,2048,32,652,2.19,266.0,,3,stir
PoseidonChain-2^12,L1,Fp8,SHA3-512,54,4096,32,1285,2.24,269.5,,3,stir
PoseidonChain-2^13,L1,Fp8,SHA3-512,54,8192,32,2577,2.56,323.7,,3,stir
PoseidonChain-2^14,L1,Fp8,SHA3-512,54,16384,32,5200,2.62,327.2,,3,stir
PoseidonChain-2^15,L1,Fp8,SHA3-512,54,32768,32,10561,2.68,330.8,,3,stir
PoseidonChain-2^16,L1,Fp8,SHA3-512,54,65536,32,21473,2.74,334.3,,3,stir
PoseidonChain-2^17,L1,Fp8,SHA3-512,54,131072,32,43667,3.04,388.5,,3,stir
PoseidonChain-2^18,L1,Fp8,SHA3-512,54,262144,32,88406,3.12,392.0,,3,stir
PoseidonChain-2^19,L1,Fp8,SHA3-512,54,524288,32,179186,3.17,395.5,,3,stir
PoseidonChain-2^20,L1,Fp8,SHA3-512,54,1048576,32,364863,3.23,399.0,,3,stir
PoseidonChain-2^21,L1,Fp8,SHA3-512,54,2097152,32,741600,3.54,453.2,,3,stir
PoseidonChain-2^22,L1,Fp8,SHA3-512,54,4194304,32,1500552,3.60,456.7,,3,stir
RegisterMachine-2^11,L1,Fp8,SHA3-512,54,2048,32,339,2.20,266.0,,3,stir
RegisterMachine-2^12,L1,Fp8,SHA3-512,54,4096,32,657,2.24,269.5,,3,stir
RegisterMachine-2^13,L1,Fp8,SHA3-512,54,8192,32,1312,2.55,323.7,,3,stir
RegisterMachine-2^14,L1,Fp8,SHA3-512,54,16384,32,2640,2.63,327.2,,3,stir
RegisterMachine-2^15,L1,Fp8,SHA3-512,54,32768,32,5372,2.67,330.8,,3,stir
RegisterMachine-2^16,L1,Fp8,SHA3-512,54,65536,32,11046,2.74,334.3,,3,stir
RegisterMachine-2^17,L1,Fp8,SHA3-512,54,131072,32,22424,3.04,388.5,,3,stir
RegisterMachine-2^18,L1,Fp8,SHA3-512,54,262144,32,45493,3.11,392.0,,3,stir
RegisterMachine-2^19,L1,Fp8,SHA3-512,54,524288,32,92494,3.17,395.5,,3,stir
RegisterMachine-2^20,L1,Fp8,SHA3-512,54,1048576,32,187471,3.23,399.0,,3,stir
RegisterMachine-2^21,L1,Fp8,SHA3-512,54,2097152,32,380644,3.58,453.2,,3,stir
RegisterMachine-2^22,L1,Fp8,SHA3-512,54,4194304,32,771321,3.60,456.7,,3,stir
Fibonacci-2^11,L3,Fp6,SHA3-384,79,2048,32,267,2.07,292.6,,1,stir
Fibonacci-2^12,L3,Fp6,SHA3-384,79,4096,32,517,2.12,296.4,,1,stir
Fibonacci-2^13,L3,Fp6,SHA3-384,79,8192,32,1021,2.37,355.8,,1,stir
Fibonacci-2^14,L3,Fp6,SHA3-384,79,16384,32,2038,2.42,359.6,,1,stir
Fibonacci-2^15,L3,Fp6,SHA3-384,79,32768,32,4095,2.51,363.5,,1,stir
Fibonacci-2^16,L3,Fp6,SHA3-384,79,65536,32,8223,2.55,367.3,,1,stir
Fibonacci-2^17,L3,Fp6,SHA3-384,79,131072,32,16560,2.82,426.7,,1,stir
Fibonacci-2^18,L3,Fp6,SHA3-384,79,262144,32,33692,2.86,430.6,,1,stir
Fibonacci-2^19,L3,Fp6,SHA3-384,79,524288,32,68191,2.97,434.4,,1,stir
Fibonacci-2^20,L3,Fp6,SHA3-384,79,1048576,32,136409,2.98,438.2,,1,stir
Fibonacci-2^21,L3,Fp6,SHA3-384,79,2097152,32,274519,3.24,497.6,,1,stir
Fibonacci-2^22,L3,Fp6,SHA3-384,79,4194304,32,556793,3.29,501.5,,1,stir
PoseidonChain-2^11,L3,Fp6,SHA3-384,79,2048,32,637,2.05,292.6,,1,stir
PoseidonChain-2^12,L3,Fp6,SHA3-384,79,4096,32,1259,2.12,296.4,,1,stir
PoseidonChain-2^13,L3,Fp6,SHA3-384,79,8192,32,2524,2.37,355.8,,1,stir
PoseidonChain-2^14,L3,Fp6,SHA3-384,79,16384,32,5082,2.41,359.6,,1,stir
PoseidonChain-2^15,L3,Fp6,SHA3-384,79,32768,32,10280,2.50,363.5,,1,stir
PoseidonChain-2^16,L3,Fp6,SHA3-384,79,65536,32,20988,2.55,367.3,,1,stir
PoseidonChain-2^17,L3,Fp6,SHA3-384,79,131072,32,42693,2.82,426.7,,1,stir
PoseidonChain-2^18,L3,Fp6,SHA3-384,79,262144,32,86406,2.85,430.6,,1,stir
PoseidonChain-2^19,L3,Fp6,SHA3-384,79,524288,32,175062,2.94,434.4,,1,stir
PoseidonChain-2^20,L3,Fp6,SHA3-384,79,1048576,32,355695,2.98,438.2,,1,stir
PoseidonChain-2^21,L3,Fp6,SHA3-384,79,2097152,32,724597,3.28,497.6,,1,stir
PoseidonChain-2^22,L3,Fp6,SHA3-384,79,4194304,32,1459156,3.32,501.5,,1,stir
RegisterMachine-2^11,L3,Fp6,SHA3-384,79,2048,32,323,2.07,292.6,,1,stir
RegisterMachine-2^12,L3,Fp6,SHA3-384,79,4096,32,630,2.12,296.4,,1,stir
RegisterMachine-2^13,L3,Fp6,SHA3-384,79,8192,32,1253,2.39,355.8,,1,stir
RegisterMachine-2^14,L3,Fp6,SHA3-384,79,16384,32,2521,2.44,359.6,,1,stir
RegisterMachine-2^15,L3,Fp6,SHA3-384,79,32768,32,5151,2.49,363.5,,1,stir
RegisterMachine-2^16,L3,Fp6,SHA3-384,79,65536,32,10613,2.54,367.3,,1,stir
RegisterMachine-2^17,L3,Fp6,SHA3-384,79,131072,32,21720,2.82,426.7,,1,stir
RegisterMachine-2^18,L3,Fp6,SHA3-384,79,262144,32,43699,2.86,430.6,,1,stir
RegisterMachine-2^19,L3,Fp6,SHA3-384,79,524288,32,88630,2.93,434.4,,1,stir
RegisterMachine-2^20,L3,Fp6,SHA3-384,79,1048576,32,180490,2.98,438.2,,1,stir
RegisterMachine-2^21,L3,Fp6,SHA3-384,79,2097152,32,365792,3.25,497.6,,1,stir
RegisterMachine-2^22,L3,Fp6,SHA3-384,79,4194304,32,741877,3.29,501.5,,1,stir
Fibonacci-2^11,L3,Fp6,SHA3-384,79,2048,32,268,2.06,292.6,,2,stir
Fibonacci-2^12,L3,Fp6,SHA3-384,79,4096,32,516,2.11,296.4,,2,stir
Fibonacci-2^13,L3,Fp6,SHA3-384,79,8192,32,1019,2.37,355.8,,2,stir
Fibonacci-2^14,L3,Fp6,SHA3-384,79,16384,32,2037,2.43,359.6,,2,stir
Fibonacci-2^15,L3,Fp6,SHA3-384,79,32768,32,4099,2.49,363.5,,2,stir
Fibonacci-2^16,L3,Fp6,SHA3-384,79,65536,32,8203,2.55,367.3,,2,stir
Fibonacci-2^17,L3,Fp6,SHA3-384,79,131072,32,16792,2.82,426.7,,2,stir
Fibonacci-2^18,L3,Fp6,SHA3-384,79,262144,32,33811,2.88,430.6,,2,stir
Fibonacci-2^19,L3,Fp6,SHA3-384,79,524288,32,67522,2.94,434.4,,2,stir
Fibonacci-2^20,L3,Fp6,SHA3-384,79,1048576,32,136493,2.97,438.2,,2,stir
Fibonacci-2^21,L3,Fp6,SHA3-384,79,2097152,32,274249,3.25,497.6,,2,stir
Fibonacci-2^22,L3,Fp6,SHA3-384,79,4194304,32,553906,3.30,501.5,,2,stir
PoseidonChain-2^11,L3,Fp6,SHA3-384,79,2048,32,639,2.06,292.6,,2,stir
PoseidonChain-2^12,L3,Fp6,SHA3-384,79,4096,32,1262,2.11,296.4,,2,stir
PoseidonChain-2^13,L3,Fp6,SHA3-384,79,8192,32,2524,2.37,355.8,,2,stir
PoseidonChain-2^14,L3,Fp6,SHA3-384,79,16384,32,5112,2.43,359.6,,2,stir
PoseidonChain-2^15,L3,Fp6,SHA3-384,79,32768,32,10378,2.49,363.5,,2,stir
PoseidonChain-2^16,L3,Fp6,SHA3-384,79,65536,32,21099,2.55,367.3,,2,stir
PoseidonChain-2^17,L3,Fp6,SHA3-384,79,131072,32,42714,2.82,426.7,,2,stir
PoseidonChain-2^18,L3,Fp6,SHA3-384,79,262144,32,86539,2.85,430.6,,2,stir
PoseidonChain-2^19,L3,Fp6,SHA3-384,79,524288,32,175260,2.93,434.4,,2,stir
PoseidonChain-2^20,L3,Fp6,SHA3-384,79,1048576,32,357767,2.98,438.2,,2,stir
PoseidonChain-2^21,L3,Fp6,SHA3-384,79,2097152,32,727240,3.25,497.6,,2,stir
PoseidonChain-2^22,L3,Fp6,SHA3-384,79,4194304,32,1462911,3.29,501.5,,2,stir
RegisterMachine-2^11,L3,Fp6,SHA3-384,79,2048,32,319,2.06,292.6,,2,stir
RegisterMachine-2^12,L3,Fp6,SHA3-384,79,4096,32,629,2.11,296.4,,2,stir
RegisterMachine-2^13,L3,Fp6,SHA3-384,79,8192,32,1249,2.39,355.8,,2,stir
RegisterMachine-2^14,L3,Fp6,SHA3-384,79,16384,32,2510,2.43,359.6,,2,stir
RegisterMachine-2^15,L3,Fp6,SHA3-384,79,32768,32,5137,2.49,363.5,,2,stir
RegisterMachine-2^16,L3,Fp6,SHA3-384,79,65536,32,10602,2.55,367.3,,2,stir
RegisterMachine-2^17,L3,Fp6,SHA3-384,79,131072,32,21408,2.81,426.7,,2,stir
RegisterMachine-2^18,L3,Fp6,SHA3-384,79,262144,32,43389,2.85,430.6,,2,stir
RegisterMachine-2^19,L3,Fp6,SHA3-384,79,524288,32,88156,2.94,434.4,,2,stir
RegisterMachine-2^20,L3,Fp6,SHA3-384,79,1048576,32,179363,2.98,438.2,,2,stir
RegisterMachine-2^21,L3,Fp6,SHA3-384,79,2097152,32,365045,3.25,497.6,,2,stir
RegisterMachine-2^22,L3,Fp6,SHA3-384,79,4194304,32,740031,3.29,501.5,,2,stir
Fibonacci-2^11,L3,Fp6,SHA3-384,79,2048,32,268,2.06,292.6,,3,stir
Fibonacci-2^12,L3,Fp6,SHA3-384,79,4096,32,516,2.11,296.4,,3,stir
Fibonacci-2^13,L3,Fp6,SHA3-384,79,8192,32,1019,2.39,355.8,,3,stir
Fibonacci-2^14,L3,Fp6,SHA3-384,79,16384,32,2033,2.43,359.6,,3,stir
Fibonacci-2^15,L3,Fp6,SHA3-384,79,32768,32,4088,2.49,363.5,,3,stir
Fibonacci-2^16,L3,Fp6,SHA3-384,79,65536,32,8190,2.55,367.3,,3,stir
Fibonacci-2^17,L3,Fp6,SHA3-384,79,131072,32,16704,2.82,426.7,,3,stir
Fibonacci-2^18,L3,Fp6,SHA3-384,79,262144,32,33397,2.86,430.6,,3,stir
Fibonacci-2^19,L3,Fp6,SHA3-384,79,524288,32,67425,2.93,434.4,,3,stir
Fibonacci-2^20,L3,Fp6,SHA3-384,79,1048576,32,136428,2.98,438.2,,3,stir
Fibonacci-2^21,L3,Fp6,SHA3-384,79,2097152,32,275627,3.24,497.6,,3,stir
Fibonacci-2^22,L3,Fp6,SHA3-384,79,4194304,32,555169,3.29,501.5,,3,stir
PoseidonChain-2^11,L3,Fp6,SHA3-384,79,2048,32,636,2.07,292.6,,3,stir
PoseidonChain-2^12,L3,Fp6,SHA3-384,79,4096,32,1259,2.10,296.4,,3,stir
PoseidonChain-2^13,L3,Fp6,SHA3-384,79,8192,32,2521,2.37,355.8,,3,stir
PoseidonChain-2^14,L3,Fp6,SHA3-384,79,16384,32,5094,2.42,359.6,,3,stir
PoseidonChain-2^15,L3,Fp6,SHA3-384,79,32768,32,10356,2.50,363.5,,3,stir
PoseidonChain-2^16,L3,Fp6,SHA3-384,79,65536,32,20991,2.54,367.3,,3,stir
PoseidonChain-2^17,L3,Fp6,SHA3-384,79,131072,32,42703,2.81,426.7,,3,stir
PoseidonChain-2^18,L3,Fp6,SHA3-384,79,262144,32,86499,2.85,430.6,,3,stir
PoseidonChain-2^19,L3,Fp6,SHA3-384,79,524288,32,175041,2.93,434.4,,3,stir
PoseidonChain-2^20,L3,Fp6,SHA3-384,79,1048576,32,354590,2.98,438.2,,3,stir
PoseidonChain-2^21,L3,Fp6,SHA3-384,79,2097152,32,719299,3.25,497.6,,3,stir
PoseidonChain-2^22,L3,Fp6,SHA3-384,79,4194304,32,1454464,3.30,501.5,,3,stir
RegisterMachine-2^11,L3,Fp6,SHA3-384,79,2048,32,322,2.06,292.6,,3,stir
RegisterMachine-2^12,L3,Fp6,SHA3-384,79,4096,32,633,2.11,296.4,,3,stir
RegisterMachine-2^13,L3,Fp6,SHA3-384,79,8192,32,1250,2.37,355.8,,3,stir
RegisterMachine-2^14,L3,Fp6,SHA3-384,79,16384,32,2515,2.42,359.6,,3,stir
RegisterMachine-2^15,L3,Fp6,SHA3-384,79,32768,32,5150,2.49,363.5,,3,stir
RegisterMachine-2^16,L3,Fp6,SHA3-384,79,65536,32,10610,2.54,367.3,,3,stir
RegisterMachine-2^17,L3,Fp6,SHA3-384,79,131072,32,21455,2.83,426.7,,3,stir
RegisterMachine-2^18,L3,Fp6,SHA3-384,79,262144,32,43451,2.86,430.6,,3,stir
RegisterMachine-2^19,L3,Fp6,SHA3-384,79,524288,32,88239,2.94,434.4,,3,stir
RegisterMachine-2^20,L3,Fp6,SHA3-384,79,1048576,32,179446,2.98,438.2,,3,stir
RegisterMachine-2^21,L3,Fp6,SHA3-384,79,2097152,32,365004,3.26,497.6,,3,stir
RegisterMachine-2^22,L3,Fp6,SHA3-384,79,4194304,32,740508,3.29,501.5,,3,stir
Fibonacci-2^11,L3,Fp8,SHA3-512,79,2048,32,288,3.12,387.9,,1,stir
Fibonacci-2^12,L3,Fp8,SHA3-512,79,4096,32,553,3.19,393.0,,1,stir
Fibonacci-2^13,L3,Fp8,SHA3-512,79,8192,32,1087,3.65,472.1,,1,stir
Fibonacci-2^14,L3,Fp8,SHA3-512,79,16384,32,2163,3.71,477.2,,1,stir
Fibonacci-2^15,L3,Fp8,SHA3-512,79,32768,32,4350,3.79,482.3,,1,stir
Fibonacci-2^16,L3,Fp8,SHA3-512,79,65536,32,8784,3.90,487.4,,1,stir
Fibonacci-2^17,L3,Fp8,SHA3-512,79,131072,32,17745,4.33,566.6,,1,stir
Fibonacci-2^18,L3,Fp8,SHA3-512,79,262144,32,35873,4.41,571.7,,1,stir
Fibonacci-2^19,L3,Fp8,SHA3-512,79,524288,32,72384,4.52,576.8,,1,stir
Fibonacci-2^20,L3,Fp8,SHA3-512,79,1048576,32,145421,4.62,581.9,,1,stir
Fibonacci-2^21,L3,Fp8,SHA3-512,79,2097152,32,291891,5.02,661.0,,1,stir
Fibonacci-2^22,L3,Fp8,SHA3-512,79,4194304,32,590839,5.16,666.1,,1,stir
PoseidonChain-2^11,L3,Fp8,SHA3-512,79,2048,32,651,3.12,387.9,,1,stir
PoseidonChain-2^12,L3,Fp8,SHA3-512,79,4096,32,1285,3.19,393.0,,1,stir
PoseidonChain-2^13,L3,Fp8,SHA3-512,79,8192,32,2575,3.64,472.1,,1,stir
PoseidonChain-2^14,L3,Fp8,SHA3-512,79,16384,32,5193,3.72,477.2,,1,stir
PoseidonChain-2^15,L3,Fp8,SHA3-512,79,32768,32,10546,3.81,482.3,,1,stir
PoseidonChain-2^16,L3,Fp8,SHA3-512,79,65536,32,21528,3.89,487.4,,1,stir
PoseidonChain-2^17,L3,Fp8,SHA3-512,79,131072,32,43741,4.34,566.6,,1,stir
PoseidonChain-2^18,L3,Fp8,SHA3-512,79,262144,32,88447,4.42,571.7,,1,stir
PoseidonChain-2^19,L3,Fp8,SHA3-512,79,524288,32,178910,4.51,576.8,,1,stir
PoseidonChain-2^20,L3,Fp8,SHA3-512,79,1048576,32,362440,4.59,581.9,,1,stir
PoseidonChain-2^21,L3,Fp8,SHA3-512,79,2097152,32,734320,5.04,661.0,,1,stir
PoseidonChain-2^22,L3,Fp8,SHA3-512,79,4194304,32,1485903,5.14,666.1,,1,stir
RegisterMachine-2^11,L3,Fp8,SHA3-512,79,2048,32,339,3.11,387.9,,1,stir
RegisterMachine-2^12,L3,Fp8,SHA3-512,79,4096,32,660,3.19,393.0,,1,stir
RegisterMachine-2^13,L3,Fp8,SHA3-512,79,8192,32,1312,3.64,472.1,,1,stir
RegisterMachine-2^14,L3,Fp8,SHA3-512,79,16384,32,2652,3.71,477.2,,1,stir
RegisterMachine-2^15,L3,Fp8,SHA3-512,79,32768,32,5401,3.80,482.3,,1,stir
RegisterMachine-2^16,L3,Fp8,SHA3-512,79,65536,32,10955,3.89,487.4,,1,stir
RegisterMachine-2^17,L3,Fp8,SHA3-512,79,131072,32,22390,4.32,566.6,,1,stir
RegisterMachine-2^18,L3,Fp8,SHA3-512,79,262144,32,45547,4.45,571.7,,1,stir
RegisterMachine-2^19,L3,Fp8,SHA3-512,79,524288,32,93149,4.51,576.8,,1,stir
RegisterMachine-2^20,L3,Fp8,SHA3-512,79,1048576,32,187499,4.59,581.9,,1,stir
RegisterMachine-2^21,L3,Fp8,SHA3-512,79,2097152,32,381120,5.07,661.0,,1,stir
RegisterMachine-2^22,L3,Fp8,SHA3-512,79,4194304,32,774731,5.12,666.1,,1,stir
Fibonacci-2^11,L3,Fp8,SHA3-512,79,2048,32,286,3.12,387.9,,2,stir
Fibonacci-2^12,L3,Fp8,SHA3-512,79,4096,32,547,3.18,393.0,,2,stir
Fibonacci-2^13,L3,Fp8,SHA3-512,79,8192,32,1078,3.63,472.1,,2,stir
Fibonacci-2^14,L3,Fp8,SHA3-512,79,16384,32,2147,3.73,477.2,,2,stir
Fibonacci-2^15,L3,Fp8,SHA3-512,79,32768,32,4331,3.80,482.3,,2,stir
Fibonacci-2^16,L3,Fp8,SHA3-512,79,65536,32,8834,3.89,487.4,,2,stir
Fibonacci-2^17,L3,Fp8,SHA3-512,79,131072,32,17762,4.36,566.6,,2,stir
Fibonacci-2^18,L3,Fp8,SHA3-512,79,262144,32,35648,4.41,571.7,,2,stir
Fibonacci-2^19,L3,Fp8,SHA3-512,79,524288,32,71496,4.51,576.8,,2,stir
Fibonacci-2^20,L3,Fp8,SHA3-512,79,1048576,32,143955,4.58,581.9,,2,stir
Fibonacci-2^21,L3,Fp8,SHA3-512,79,2097152,32,291850,5.03,661.0,,2,stir
Fibonacci-2^22,L3,Fp8,SHA3-512,79,4194304,32,588039,5.11,666.1,,2,stir
PoseidonChain-2^11,L3,Fp8,SHA3-512,79,2048,32,651,3.11,387.9,,2,stir
PoseidonChain-2^12,L3,Fp8,SHA3-512,79,4096,32,1282,3.19,393.0,,2,stir
PoseidonChain-2^13,L3,Fp8,SHA3-512,79,8192,32,2575,3.63,472.1,,2,stir
PoseidonChain-2^14,L3,Fp8,SHA3-512,79,16384,32,5212,3.72,477.2,,2,stir
PoseidonChain-2^15,L3,Fp8,SHA3-512,79,32768,32,10574,3.80,482.3,,2,stir
PoseidonChain-2^16,L3,Fp8,SHA3-512,79,65536,32,21489,3.89,487.4,,2,stir
PoseidonChain-2^17,L3,Fp8,SHA3-512,79,131072,32,43628,4.34,566.6,,2,stir
PoseidonChain-2^18,L3,Fp8,SHA3-512,79,262144,32,88625,4.41,571.7,,2,stir
PoseidonChain-2^19,L3,Fp8,SHA3-512,79,524288,32,179524,4.52,576.8,,2,stir
PoseidonChain-2^20,L3,Fp8,SHA3-512,79,1048576,32,362176,4.59,581.9,,2,stir
PoseidonChain-2^21,L3,Fp8,SHA3-512,79,2097152,32,733476,5.07,661.0,,2,stir
PoseidonChain-2^22,L3,Fp8,SHA3-512,79,4194304,32,1486382,5.11,666.1,,2,stir
RegisterMachine-2^11,L3,Fp8,SHA3-512,79,2048,32,338,3.12,387.9,,2,stir
RegisterMachine-2^12,L3,Fp8,SHA3-512,79,4096,32,657,3.19,393.0,,2,stir
RegisterMachine-2^13,L3,Fp8,SHA3-512,79,8192,32,1312,3.63,472.1,,2,stir
RegisterMachine-2^14,L3,Fp8,SHA3-512,79,16384,32,2648,3.72,477.2,,2,stir
RegisterMachine-2^15,L3,Fp8,SHA3-512,79,32768,32,5377,3.80,482.3,,2,stir
RegisterMachine-2^16,L3,Fp8,SHA3-512,79,65536,32,11035,3.89,487.4,,2,stir
RegisterMachine-2^17,L3,Fp8,SHA3-512,79,131072,32,22577,4.33,566.6,,2,stir
RegisterMachine-2^18,L3,Fp8,SHA3-512,79,262144,32,45937,4.41,571.7,,2,stir
RegisterMachine-2^19,L3,Fp8,SHA3-512,79,524288,32,93387,4.52,576.8,,2,stir
RegisterMachine-2^20,L3,Fp8,SHA3-512,79,1048576,32,186830,4.63,581.9,,2,stir
RegisterMachine-2^21,L3,Fp8,SHA3-512,79,2097152,32,379670,5.06,661.0,,2,stir
RegisterMachine-2^22,L3,Fp8,SHA3-512,79,4194304,32,771165,5.16,666.1,,2,stir
Fibonacci-2^11,L3,Fp8,SHA3-512,79,2048,32,289,3.11,387.9,,3,stir
